                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.41554,                0.23493,                0.84455,                0.99182,                0.98794,                0.99478,                0.96449,                0.30065,                0.15778,                0.82038,               0.006535,               0.006535,               0.006535
                     72,                0.40952,                0.23345,                0.84354,                0.99169,                0.98778,                0.99479,                0.96466,                0.29937,                0.15661,                0.81963,              0.0064855,              0.0064855,              0.0064855
                     73,                0.40882,                0.23035,                0.84119,                0.99007,                0.98945,                 0.9948,                0.96488,                 0.2981,                0.15669,                0.81907,               0.006436,               0.006436,               0.006436
                     74,                0.40631,                0.23026,                 0.8445,                0.99131,                 0.9891,                0.99482,                0.96513,                0.29633,                0.15556,                0.82015,              0.0063865,              0.0063865,              0.0063865
                     75,                 0.4086,                0.23074,                0.84352,                0.99071,                0.98914,                0.99481,                0.96575,                 0.2954,                0.15463,                0.81909,               0.006337,               0.006337,               0.006337
                     76,                0.39737,                0.22785,                0.83829,                0.99003,                0.98903,                0.99481,                0.96619,                0.29374,                0.15419,                0.81855,              0.0062875,              0.0062875,              0.0062875
                     77,                0.40048,                0.22776,                0.84004,                0.98977,                0.98945,                0.99479,                0.96685,                0.29035,                 0.1532,                0.81782,               0.006238,               0.006238,               0.006238
                     78,                0.40105,                0.22841,                0.83992,                0.99024,                 0.9884,                 0.9948,                0.96674,                0.28979,                0.15302,                0.81674,              0.0061885,              0.0061885,              0.0061885
                     79,                0.39492,                0.22489,                 0.8407,                0.99316,                0.98581,                0.99479,                0.96741,                0.28884,                0.15275,                0.81663,               0.006139,               0.006139,               0.006139
                     80,                0.39603,                0.22568,                0.83836,                0.99274,                 0.9854,                0.99479,                0.96757,                0.28813,                0.15202,                 0.8165,              0.0060895,              0.0060895,              0.0060895
                     81,                0.39088,                0.22466,                0.83712,                0.99399,                0.98491,                 0.9948,                 0.9681,                0.28664,                0.15157,                0.81678,                0.00604,                0.00604,                0.00604
                     82,                0.39758,                0.22533,                0.83935,                0.99119,                0.98727,                 0.9948,                0.96828,                 0.2854,                0.15032,                0.81627,              0.0059905,              0.0059905,              0.0059905
                     83,                0.39454,                0.22406,                0.83928,                0.99028,                0.98944,                0.99481,                 0.9685,                0.28397,                0.15013,                0.81625,               0.005941,               0.005941,               0.005941
                     84,                0.39252,                0.22304,                0.83697,                0.98886,                0.99049,                 0.9948,                0.96851,                0.28305,                0.14992,                 0.8161,              0.0058915,              0.0058915,              0.0058915
                     85,                0.38605,                 0.2213,                0.83589,                0.98884,                0.99057,                 0.9948,                0.96866,                0.28287,                0.15001,                0.81594,               0.005842,               0.005842,               0.005842
                     86,                0.38382,                0.21939,                0.83674,                0.99379,                0.98578,                0.99481,                0.96881,                0.28144,                0.14886,                0.81625,              0.0057925,              0.0057925,              0.0057925
                     87,                0.38269,                0.21945,                0.83564,                0.99006,                 0.9887,                0.99479,                0.96894,                0.27929,                 0.1483,                0.81594,               0.005743,               0.005743,               0.005743
                     88,                0.38597,                0.22059,                0.83925,                0.98853,                0.99005,                0.99479,                0.96933,                0.27779,                0.14829,                0.81495,              0.0056935,              0.0056935,              0.0056935
                     89,                0.38709,                0.22141,                0.83695,                0.99064,                0.98882,                 0.9948,                0.96971,                0.27634,                0.14749,                0.81478,               0.005644,               0.005644,               0.005644
                     90,                0.38039,                0.21823,                0.83589,                0.99054,                 0.9884,                 0.9948,                0.96995,                0.27594,                0.14692,                0.81491,              0.0055945,              0.0055945,              0.0055945
                     91,                0.37512,                0.21544,                0.83462,                0.98905,                0.98955,                0.99479,                0.97061,                0.27388,                 0.1469,                0.81428,               0.005545,               0.005545,               0.005545
                     92,                 0.3783,                0.21761,                0.83482,                0.99154,                0.98778,                0.99479,                0.97065,                0.27297,                0.14658,                0.81454,              0.0054955,              0.0054955,              0.0054955
                     93,                0.37475,                0.21435,                0.83246,                0.99114,                 0.9883,                 0.9948,                0.97079,                0.27266,                0.14619,                0.81468,               0.005446,               0.005446,               0.005446
                     94,                0.37282,                0.21358,                 0.8342,                0.99248,                0.98579,                0.99479,                0.97047,                0.27222,                0.14551,                0.81372,              0.0053965,              0.0053965,              0.0053965
                     95,                0.37084,                0.21247,                0.83148,                0.99232,                0.98684,                0.99478,                0.97073,                0.27166,                0.14482,                0.81333,               0.005347,               0.005347,               0.005347
                     96,                0.36885,                0.21237,                0.83011,                0.99202,                0.98677,                0.99479,                0.97103,                0.27076,                0.14398,                0.81322,              0.0052975,              0.0052975,              0.0052975
                     97,                0.37176,                0.21239,                0.83393,                0.99219,                0.98694,                0.99479,                0.97117,                0.27001,                0.14357,                0.81298,               0.005248,               0.005248,               0.005248
